OBS		ID		Kmag	FSUA			SkyCal BG	FF1		FF2		LabCal
P88	HD53179		3.77	PACMAN_GEN_RECORD_332_0021.fits		332_0021	332_0041	332_0042	331
P88	24Psc		3.684	PACMAN_GEN_RECORD_333_0004.fits		333_0002	333_0003	333_0004	332
P88	HD1014		0.608	PACMAN_GEN_RECORD_333_0006.fits		333_0003	333_0005	333_0006	332
P88	HD16212		1.188	PACMAN_GEN_RECORD_333_0007.fits		333_0004	333_0007	333_0008	332
P88	HD27639		1.411	PACMAN_GEN_RECORD_333_0010.fits		333_0006	333_0011	333_0012	332
P88	HD27639		1.411	PACMAN_GEN_RECORD_333_0011.fits		333_0006	333_0011	333_0012	332
P88	RYTau		5.395	PACMAN_GEN_RECORD_333_0014.fits		333_0009	333_0017	333_0018	332
P88	HD50778		0.642	PACMAN_GEN_RECORD_333_0016.fits		333_0010	333_0019	333_0020	332
P88	HD53179		3.77	PACMAN_GEN_RECORD_333_0018.fits		333_0011	333_0021	333_0022	332
P88	HD50310		0.336	PACMAN_GEN_RECORD_333_0020.fits		333_0012	333_0023	333_0024	332
P88	betaPic		3.53	PACMAN_GEN_RECORD_333_0022.fits		333_0013	333_0025	333_0026	332
P88	HD50310		0.336	PACMAN_GEN_RECORD_333_0023.fits		333_0014	333_0027	333_0028	332
P88	HD53047		0.82	PACMAN_GEN_RECORD_333_0024.fits		333_0015	333_0029	333_0030	332
P88	HD83618		0.874	PACMAN_GEN_RECORD_333_0025.fits		333_0017	333_0031	333_0032	332
P88	HD92305		0.386	PACMAN_GEN_RECORD_333_0026.fits		333_0020	333_0037	333_0038	332
P88	HD1014		0.608	PACMAN_GEN_RECORD_334_0002.fits		334_0001	334_0001	334_0002	332
P88	HD1522		1.025	PACMAN_GEN_RECORD_334_0005.fits		334_0003	334_0005	334_0006	332
P88	24Psc		3.684	PACMAN_GEN_RECORD_334_0007.fits		334_0004	334_0007	334_0008	332
P88	HD1014		0.608	PACMAN_GEN_RECORD_334_0008.fits		334_0005	334_0009	334_0010	332
P88	24Psc		3.684	PACMAN_GEN_RECORD_334_0010.fits		334_0006	334_0011	334_0012	332
P88	HD1522		1.025	PACMAN_GEN_RECORD_334_0011.fits		334_0007	334_0013	334_0014	332
P88	24Psc		3.684	PACMAN_GEN_RECORD_334_0013.fits		334_0008	334_0015	334_0016	332
P88	HD27639		1.411	PACMAN_GEN_RECORD_334_0015.fits		334_0009	334_0017	334_0018	332
P88	RYTau		5.395	PACMAN_GEN_RECORD_334_0016.fits		334_0010	334_0019	334_0020	332
P88	HD16212		1.188	PACMAN_GEN_RECORD_334_0017.fits		334_0011	334_0021	334_0022	332
P88	HD50778		0.642	PACMAN_GEN_RECORD_334_0018.fits		334_0016	334_0031	334_0032	332
P88	HD53179		3.77	PACMAN_GEN_RECORD_334_0019.fits		334_0017	334_0033	334_0034	332
P88	HD92305		0.386	PACMAN_GEN_RECORD_334_0022.fits		334_0018	334_0035	334_0036	332
P88	HD100546	5.418	PACMAN_GEN_RECORD_334_0026.fits		334_0019	334_0037	334_0038	332
XX	HD100546	5.418	PACMAN_GEN_RECORD_334_0026.fits		334_0019	334_0037	334_0038	332
XX	HD100546	5.418	PACMAN_GEN_RECORD_334_0027.fits		334_0019	334_0037	334_0038	332


P87	HD169916	0.33	PACMAN_GEN_RECORD_260_0002.fits		260_0001	260_0001	260_0002	260


16	HD218594	0.986	PACMAN_GEN_RECORD_245_0015.fits		245_0008	245_0015	245_0016	244
16	HD218594	0.986	PACMAN_GEN_RECORD_245_0020.fits		245_0008	245_0015	245_0016	244
16	HD218594	0.986	PACMAN_GEN_RECORD_245_0021.fits		245_0008	245_0015	245_0016	244
16	HD1014		0.608	PACMAN_GEN_RECORD_247_0022.fits		247_0004	247_0007	247_0008	244
16	24Psc		3.684	PACMAN_GEN_RECORD_247_0024.fits		247_0006	247_0011	247_0012	244
16	Gl86		4.12	PACMAN_GEN_RECORD_247_0026.fits		247_0008	247_0015	247_0016	244
16	HD11353		1.016	PACMAN_GEN_RECORD_247_0029.fits		247_0010	247_0019	247_0020	244
16	WDSJ05320-0018A	3.02	PACMAN_GEN_RECORD_247_0035.fits		247_0016	247_0031	247_0032	244
