OBS		ID		Kmag	FSUA			SkyCal BG	FF1		FF2		LabCal
P92RIVI		6CMi		0.0	FSUA_OBS_066_0009.fits	066_0005	066_0009	066_0010	--
#mergedP92RIVI		6CMi		0.0	FSUA_OBS_066_0010.fits	066_0005	066_0009	066_0010	--
P92RIVI		epsCol		0.0	FSUA_OBS_066_0011.fits	066_0006	066_0011	066_0012	--
P92RIVI		alpCol		0.0	FSUA_OBS_066_0012.fits	066_0007	066_0013	066_0014	--
#mergedP92RIVI		alpCol		0.0	FSUA_OBS_066_0013.fits	066_0007	066_0013	066_0014	--
P92RIVI		6CMi		0.0	FSUA_OBS_066_0014.fits	066_0008	066_0015	066_0016	--
#mergedP92RIVI		6CMi		0.0	FSUA_OBS_066_0015.fits	066_0008	066_0015	066_0016	--
P92RIVI		betCMi		0.0	FSUA_OBS_066_0016.fits	066_0009	066_0017	066_0018	--
#mergedP92RIVI		betCMi		0.0	FSUA_OBS_066_0017.fits	066_0009	066_0017	066_0018	--
#mergedP92RIVI		betCMi		0.0	FSUA_OBS_066_0018.fits	066_0009	066_0017	066_0018	--
#mergedP92RIVI		betCMi		0.0	FSUA_OBS_066_0019.fits	066_0009	066_0017	066_0018	--
#mergedP92RIVI		betCMi		0.0	FSUA_OBS_066_0020.fits	066_0009	066_0017	066_0018	--
P92RIVI		epsCol		0.0	FSUA_OBS_067_0001.fits	067_0001	067_0001	067_0002	--
P92RIVI		alpCol		0.0	FSUA_OBS_067_0002.fits	067_0002	067_0003	067_0004	--
P92RIVI		6CMi		0.0	FSUA_OBS_067_0003.fits	067_0003	067_0005	067_0006	--
P92RIVI		betCMi		0.0	FSUA_OBS_067_0004.fits	067_0004	067_0007	067_0008	--
P92RIVI		epsCol		0.0	FSUA_OBS_067_0005.fits	067_0005	067_0009	067_0010	--
P92RIVI		alpCol		0.0	FSUA_OBS_067_0006.fits	067_0006	067_0011	067_0012	--
#mergedP92RIVI		alpCol		0.0	FSUA_OBS_067_0007.fits	067_0007	067_0013	067_0014	--



OBS		ID		Kmag	FSUA			SkyCal BG	FF1		FF2		LabCal
jpott		HD69830		0.0	FSUA_OBS_041_0002.fits	041_0002	041_0003	041_0004	352

OBS		ID		Kmag	FSUA			SkyCal BG	FF1		FF2		LabCal
P92KRAUS2	HD28749		2.08	FSUA_OBS_355_0001.fits	355_0001	355_0001	355_0002	352
P92KRAUS2	V1247Ori	7.41	FSUA_OBS_355_0002.fits	355_0002	355_0003	355_0004	352
P92KRAUS2	HD39400		1.80	FSUA_OBS_355_0003.fits	355_0003	355_0005	355_0006	352
P92KRAUS2	HD25604		1.96	FSUA_OBS_355_0004.fits	355_0004	355_0007	355_0008	352
#mergedP92KRAUS2	HD25604		1.96	FSUA_OBS_355_0005.fits	355_0004	355_0007	355_0008	352
P92KRAUS2	LkHalpha330	7.03	FSUA_OBS_355_0006.fits	355_0005	355_0009	355_0010	352
#mergedP92KRAUS2	LkHalpha330	7.03	FSUA_OBS_355_0007.fits	355_0005	355_0009	355_0010	352
P92KRAUS2	HD39400		1.80	FSUA_OBS_355_0008.fits	355_0006	355_0011	355_0012	352
P92KRAUS2	V1247Ori	7.41	FSUA_OBS_355_0009.fits	355_0008	355_0015	355_0016	352


OBS		ID		Kmag	FSUA			SkyCal BG	FF1		FF2		LabCal
P92KRAUS1	HD28749		2.08	FSUA_OBS_353_0001.fits	353_0001	353_0001	353_0002	352
P92KRAUS1	V1247Ori	7.41	FSUA_OBS_353_0002.fits	353_0002	353_0003	353_0004	352
P92KRAUS1	HD39400		1.80	FSUA_OBS_353_0003.fits	353_0003	353_0005	353_0006	352
#notusedP92KRAUS1	HD25604		1.96	FSUA_OBS_353_0004.fits	353_0004	353_0007	353_0008	352
P92KRAUS1	HD25604		1.96	FSUA_OBS_353_0005.fits	353_0004	353_0007	353_0008	352
P92KRAUS1	LkHalpha330	7.03	FSUA_OBS_353_0006.fits	353_0006	353_0011	353_0012	352
P92KRAUS1	HD28305		1.31	FSUA_OBS_353_0007.fits	353_0007	353_0013	353_0014	352
P92KRAUS1	UXTau		7.55	FSUA_OBS_353_0008.fits	353_0008	353_0015	353_0016	352
P92KRAUS1	HD27482		2.12	FSUA_OBS_353_0009.fits	353_0009	353_0017	353_0018	352
P92KRAUS1	DHTau		8.18	FSUA_OBS_353_0010.fits	353_0010	353_0019	353_0020	352
#mergedP92KRAUS1	DHTau		8.18	FSUA_OBS_353_0011.fits	353_0010	353_0019	353_0020	352
P92KRAUS1	HD28305		1.31	FSUA_OBS_353_0012.fits	353_0011	353_0021	353_0022	352
P92KRAUS1	LkCa15 		8.16	FSUA_OBS_353_0013.fits	353_0012	353_0023	353_0024	352
#mergedP92KRAUS1	LkCa15 		8.16	FSUA_OBS_353_0014.fits	353_0012	353_0023	353_0024	352
P92KRAUS1	HD33554		1.73	FSUA_OBS_353_0015.fits	353_0013	353_0025	353_0026	352
P92KRAUS1	V1247Ori	7.41	FSUA_OBS_353_0016.fits	353_0014	353_0027	353_0028	352
P92KRAUS1	HD39400		1.80	FSUA_OBS_353_0017.fits	353_0015	353_0029	353_0030	352
P92KRAUS1	NYOri		8.39	FSUA_OBS_353_0018.fits	353_0016	353_0031	353_0032	352
P92KRAUS1	HD71701		1.76	FSUA_OBS_353_0019.fits	353_0019	353_0035	353_0036	352
P92KRAUS1	SZCha		7.76	FSUA_OBS_353_0020.fits	353_0021	353_0039	353_0040	352
P92KRAUS1	CSCha		8.20	FSUA_OBS_353_0021.fits	353_0022	353_0041	353_0042	352


OBS		ID		Kmag	FSUA			SkyCal BG	FF1		FF2		LabCal

P92POTT		xx		0.0	FSUA_OBS_043_0001.fits	043_0001	043_0001	043_0002	--
P92POTT		xx		0.0	FSUA_OBS_043_0002.fits	043_0007	043_0013	043_0014	--
P92POTT		xx		0.0	FSUA_OBS_043_0003.fits	043_0007	043_0013	043_0014	--

P92POTT		xx		0.0	FSUA_OBS_044_0001.fits	044_0002	044_0003	044_0004	--
P92POTT		xx		0.0	FSUA_OBS_044_0002.fits	044_0003	044_0005	044_0006	--
P92POTT		xx		0.0	FSUA_OBS_044_0003.fits	044_0004	044_0007	044_0008	--
P92POTT		xx		0.0	FSUA_OBS_044_0004.fits	044_0005	044_0009	044_0010	--
P92POTT		xx		0.0	FSUA_OBS_044_0005.fits	044_0006	044_0011	044_0012	--
P92POTT		xx		0.0	FSUA_OBS_044_0006.fits	044_0007	044_0013	044_0014	--
P92POTT		xx		0.0	FSUA_OBS_044_0007.fits	044_0008	044_0015	044_0016	--
P92POTT		xx		0.0	FSUA_OBS_044_0008.fits	044_0008	044_0015	044_0016	--
P92POTT		xx		0.0	FSUA_OBS_044_0009.fits	044_0008	044_0015	044_0016	--

P92POTT		xx		0.0	FSUA_OBS_045_0001.fits	045_0001	045_0001	045_0002	--
P92POTT		xx		0.0	FSUA_OBS_045_0002.fits	045_0002	045_0003	045_0004	--
P92POTT		xx		0.0	FSUA_OBS_045_0003.fits	045_0007	045_0013	045_0014	--
P92POTT		xx		0.0	FSUA_OBS_045_0004.fits	045_0008	045_0015	045_0016	--

P92POTT		xx		0.0	FSUA_OBS_046_0001.fits	046_0001	046_0001	046_0002	--
P92POTT		xx		0.0	FSUA_OBS_046_0002.fits	046_0001	046_0001	046_0002	--
P92POTT		xx		0.0	FSUA_OBS_046_0003.fits	046_0001	046_0001	046_0002	--
P92POTT		xx		0.0	FSUA_OBS_046_0004.fits	046_0001	046_0001	046_0002	--

OBS		ID		Kmag	FSUA			SkyCal BG	FF1		FF2		LabCal
P92RIVIold		R71		0.0	FSUA_OBS_032_0002.fits	032_0003	032_0005	032_0006	--
xP92RIVIold		HD23817		1.28	FSUA_OBS_032_0003.fits	032_0005	032_0009	032_0010	--


OBS		ID		Kmag	FSUA			SkyCal BG	FF1		FF2		LabCal

P92CHOQUET	HD76111		5.31	FSUA_OBS_014_0001.fits	014_0001	014_0001	014_0002	013
P92CHOQUET	VelaX1		5.60	FSUA_OBS_014_0002.fits	014_0002	014_0003	014_0004	013
P92CHOQUET	HD80934		5.01	FSUA_OBS_014_0003.fits	014_0003	014_0005	014_0006	013
P92CHOQUET	HD76111		5.31	FSUA_OBS_014_0004.fits	014_0004	014_0007	014_0008	013
P92CHOQUET	VelaX1		5.60	FSUA_OBS_014_0005.fits	014_0005	014_0009	014_0010	013
P92CHOQUET	HD80934		5.01	FSUA_OBS_014_0006.fits	014_0006	014_0011	014_0012	013

P92CHOQUET	HD76111		5.31	FSUA_OBS_018_0001.fits	018_0001	018_0001	018_0002	013
P92CHOQUET	VelaX1		5.60	FSUA_OBS_018_0002.fits	018_0002	018_0003	018_0004	013
P92CHOQUET	HD80934		5.01	FSUA_OBS_018_0003.fits	018_0003	018_0005	018_0006	013
P92CHOQUET	VelaX1		5.60	FSUA_OBS_018_0004.fits	018_0004	018_0007	018_0008	013
P92CHOQUET	HD76111		5.31	FSUA_OBS_018_0005.fits	018_0005	018_0009	018_0010	013
P92CHOQUET	HD76111		5.31	FSUA_OBS_018_0006.fits	018_0006	018_0011	018_0012	013
P92CHOQUET	VelaX1		5.60	FSUA_OBS_018_0007.fits	018_0007	018_0013	018_0014	013
P92CHOQUET	HD80934		5.01	FSUA_OBS_018_0008.fits	018_0008	018_0015	018_0016	013



## HAS TO BE COMPLETED
P90LOPEZ	HD9362		-99	PACMAN_GEN_RECORD_306_0004.fits	306_0002	306_0001	306_0002	317
P90LOPEZ	HD9362		-99	PACMAN_GEN_RECORD_306_0005.fits	306_0002	306_0001	306_0002	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_306_0007.fits	306_0003	306_0003	306_0004	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_306_0008.fits	306_0003	306_0003	306_0004	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_306_0009.fits	306_0003	306_0003	306_0004	317
P90LOPEZ	HD1252		-99	PACMAN_GEN_RECORD_306_0010.fits	306_0004	306_0005	306_0006	317
P90LOPEZ	HD1252		-99	PACMAN_GEN_RECORD_306_0011.fits	306_0004	306_0005	306_0006	317
P90LOPEZ	HD1252		-99	PACMAN_GEN_RECORD_306_0012.fits	306_0004	306_0005	306_0006	317
P90LOPEZ	HD9362		-99	PACMAN_GEN_RECORD_306_0014.fits	306_0005	306_0007	306_0008	317
P90LOPEZ	HD9362		-99	PACMAN_GEN_RECORD_306_0015.fits	306_0005	306_0007	306_0008	317
P90LOPEZ	HD9362		-99	PACMAN_GEN_RECORD_306_0016.fits	306_0005	306_0007	306_0008	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_306_0017.fits	306_0007	306_0011	306_0012	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_306_0019.fits	306_0007	306_0011	306_0012	317
P90LOPEZ	HD1252		-99	PACMAN_GEN_RECORD_306_0020.fits	306_0008	306_0013	306_0014	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_306_0021.fits	306_0009	306_0015	306_0016	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_306_0022.fits	306_0009	306_0015	306_0016	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_306_0023.fits	306_0009	306_0015	306_0016	317
P90LOPEZ	HD1252		-99	PACMAN_GEN_RECORD_306_0024.fits	306_0010	306_0017	306_0018	317
P90LOPEZ	HD1252		-99	PACMAN_GEN_RECORD_306_0025.fits	306_0010	306_0017	306_0018	317
P90LOPEZ	HD9362		-99	PACMAN_GEN_RECORD_311_0001.fits	311_0001	311_0001	311_0002	317
P90LOPEZ	HD9362		-99	PACMAN_GEN_RECORD_311_0002.fits	311_0001	311_0001	311_0002	317
P90LOPEZ	HD9362		-99	PACMAN_GEN_RECORD_311_0004.fits	311_0001	311_0001	311_0002	317
P90LOPEZ	HD9362		-99	PACMAN_GEN_RECORD_311_0005.fits	311_0001	311_0001	311_0002	317
P90LOPEZ	HD9362		-99	PACMAN_GEN_RECORD_311_0006.fits	311_0001	311_0001	311_0002	317
P90LOPEZ	HD9362		-99	PACMAN_GEN_RECORD_311_0007.fits	311_0001	311_0001	311_0002	317
P90LOPEZ	HD9362		-99	PACMAN_GEN_RECORD_311_0008.fits	311_0001	311_0001	311_0002	317
P90LOPEZ	HD9362		-99	PACMAN_GEN_RECORD_311_0009.fits	311_0001	311_0001	311_0002	317
P90LOPEZ	HD9362		-99	PACMAN_GEN_RECORD_311_0010.fits	311_0001	311_0001	311_0002	317
P90LOPEZ	HD9362		-99	PACMAN_GEN_RECORD_311_0011.fits	311_0001	311_0001	311_0002	317
P90LOPEZ	HD9362		-99	PACMAN_GEN_RECORD_311_0012.fits	311_0001	311_0001	311_0002	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_311_0015.fits	311_0002	311_0003	311_0004	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_311_0016.fits	311_0002	311_0003	311_0004	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_311_0017.fits	311_0002	311_0003	311_0004	317
P90LOPEZ	HD9362		-99	PACMAN_GEN_RECORD_311_0019.fits	311_0003	311_0005	311_0006	317
P90LOPEZ	HD9362		-99	PACMAN_GEN_RECORD_311_0020.fits	311_0003	311_0005	311_0006	317
P90LOPEZ	HD9362		-99	PACMAN_GEN_RECORD_311_0021.fits	311_0003	311_0005	311_0006	317
P90LOPEZ	HD9362		-99	PACMAN_GEN_RECORD_311_0022.fits	311_0003	311_0005	311_0006	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_311_0023.fits	311_0004	311_0007	311_0008	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_311_0024.fits	311_0004	311_0007	311_0008	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_311_0025.fits	311_0004	311_0007	311_0008	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_311_0026.fits	311_0004	311_0007	311_0008	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_311_0027.fits	311_0004	311_0007	311_0008	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_311_0028.fits	311_0004	311_0007	311_0008	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_311_0029.fits	311_0004	311_0007	311_0008	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_311_0030.fits	311_0004	311_0007	311_0008	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_311_0031.fits	311_0004	311_0007	311_0008	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_311_0032.fits	311_0004	311_0007	311_0008	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_311_0033.fits	311_0004	311_0007	311_0008	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_311_0034.fits	311_0004	311_0007	311_0008	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_311_0035.fits	311_0004	311_0007	311_0008	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_311_0036.fits	311_0004	311_0007	311_0008	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_311_0037.fits	311_0004	311_0007	311_0008	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_311_0038.fits	311_0004	311_0007	311_0008	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_311_0039.fits	311_0004	311_0007	311_0008	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_311_0040.fits	311_0004	311_0007	311_0008	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_311_0041.fits	311_0004	311_0007	311_0008	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_311_0042.fits	311_0004	311_0007	311_0008	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_311_0043.fits	311_0004	311_0007	311_0008	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_311_0044.fits	311_0004	311_0007	311_0008	317
P90LOPEZ	Gl86		-99	PACMAN_GEN_RECORD_311_0045.fits	311_0004	311_0007	311_0008	317
